"Name","cp_attack_effective_attack_percentage","attacked_z_score_roc_auc","_wandb"
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-1-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-0-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-0-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-25%_eval","75","0.9814745",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-2-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-2-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-1-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-1-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-0-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-0-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-2-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-2-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-1-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-1-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-0-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-0-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-2-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-2-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-1-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-1-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-0-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-0-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-2-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-2-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-1-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-1-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-0-pearson","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-0-cressie_read","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_5-10%_eval","90","0.807608",""
"core_simple_1_100_600_gen_cp_attack_3-75%_eval","25","0.9996125",""
"core_simple_1_100_600_gen_cp_attack_3-50%_eval","50","0.9984225",""
"core_simple_1_100_600_gen_cp_attack_3-25%_eval","75","0.98512",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-2-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-2-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-1-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-1-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-0-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-0-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-2-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-2-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-1-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-1-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-0-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-0-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-2-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-2-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-1-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-1-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-0-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-0-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-2-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-2-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-1-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-1-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-0-pearson","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-0-cressie_read","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_3-10%_eval","90","0.821314",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-2-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-2-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-1-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-1-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-0-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-0-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-2-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-2-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-1-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-1-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-0-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-0-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-2-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-2-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-1-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-1-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-0-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-0-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-2-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-2-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-1-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-1-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-0-pearson","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-0-cressie_read","95","0.506704",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-2-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-2-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-1-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-1-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-0-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-0-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-2-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-2-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-1-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-1-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-0-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-0-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-2-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-2-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-1-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-1-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-0-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-0-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-2-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-2-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-1-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-1-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-0-pearson","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-0-cressie_read","95","0.6252025",""
"core_simple_1_100_600_gen_cp_attack_1-75%_eval","25","0.999842",""
"core_simple_1_100_600_gen_cp_attack_1-50%_eval","50","0.9991115",""
"core_simple_1_100_600_gen_cp_attack_1-25%_eval","75","0.9861745",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-2-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-2-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-1-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-1-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-0-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-0-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-2-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-2-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-1-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-1-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-0-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-0-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-2-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-2-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-1-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-1-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-0-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-0-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-2-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-2-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-1-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-1-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-0-pearson","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-0-cressie_read","90","0.8261675",""
"core_simple_1_100_600_gen_cp_attack_1-10%_eval","90","0.8261675",""
